"","Measure","Scenario","Period","Strategy","WYear","Value"
"322","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1978,53.3751777
"323","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1979,1037.6523305
"324","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1980,962.2408011
"325","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1981,250.0560629
"326","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1982,683.9797948
"327","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1983,1772.4089573
"328","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1984,5237.1145186
"329","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1985,4983.3295321
"330","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1986,1742.7560808
"331","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1987,781.4276759
"332","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1988,5483.699509
"333","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1989,765.3218995
"334","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1990,2144.2500782
"335","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1991,1021.7052317
"336","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1992,3368.7056133
